"id_rz_no_lectura","id_persona","razon_no_lectura"
1,47,"Otras actividades culturales"
2,547,"Otras actividades culturales"
3,880,"Otras actividades culturales"
4,1073,"Otras actividades culturales"
5,1232,"Otras actividades culturales"
6,1236,"Otras actividades culturales"
7,1245,"Otras actividades culturales"
8,1342,"Otras actividades culturales"
9,1349,"Otras actividades culturales"
10,1527,"Otras actividades culturales"
11,1614,"Otras actividades culturales"
12,1631,"Otras actividades culturales"
13,1636,"Otras actividades culturales"
14,1637,"Otras actividades culturales"
15,1641,"Otras actividades culturales"
16,1642,"Otras actividades culturales"
17,1643,"Otras actividades culturales"
18,1644,"Otras actividades culturales"
19,1645,"Otras actividades culturales"
20,1646,"Otras actividades culturales"
21,1747,"Otras actividades culturales"
22,1755,"Otras actividades culturales"
23,1766,"Otras actividades culturales"
24,1770,"Otras actividades culturales"
25,1785,"Otras actividades culturales"
26,1803,"Otras actividades culturales"
27,1898,"Otras actividades culturales"
28,1916,"Otras actividades culturales"
29,1941,"Otras actividades culturales"
30,1950,"Otras actividades culturales"
31,1955,"Otras actividades culturales"
32,1989,"Otras actividades culturales"
33,1995,"Otras actividades culturales"
34,1996,"Otras actividades culturales"
35,2045,"Otras actividades culturales"
36,2103,"Otras actividades culturales"
37,2158,"Otras actividades culturales"
38,2188,"Otras actividades culturales"
39,2359,"Otras actividades culturales"
40,2455,"Otras actividades culturales"
41,2457,"Otras actividades culturales"
42,2529,"Otras actividades culturales"
43,2548,"Otras actividades culturales"
44,2552,"Otras actividades culturales"
45,2565,"Otras actividades culturales"
46,2590,"Otras actividades culturales"
47,2736,"Otras actividades culturales"
48,2758,"Otras actividades culturales"
49,2769,"Otras actividades culturales"
50,2907,"Otras actividades culturales"
51,2945,"Otras actividades culturales"
52,3008,"Otras actividades culturales"
53,3026,"Otras actividades culturales"
54,3029,"Otras actividades culturales"
55,3032,"Otras actividades culturales"
56,3036,"Otras actividades culturales"
57,3048,"Otras actividades culturales"
58,3272,"Otras actividades culturales"
59,3432,"Otras actividades culturales"
60,3500,"Otras actividades culturales"
61,3630,"Otras actividades culturales"
62,3665,"Otras actividades culturales"
63,3713,"Otras actividades culturales"
64,3793,"Otras actividades culturales"
65,3851,"Otras actividades culturales"
66,3859,"Otras actividades culturales"
67,3868,"Otras actividades culturales"
68,3917,"Otras actividades culturales"
69,3923,"Otras actividades culturales"
70,4030,"Otras actividades culturales"
71,4068,"Otras actividades culturales"
72,4160,"Otras actividades culturales"
73,4167,"Otras actividades culturales"
74,4192,"Otras actividades culturales"
75,4705,"Otras actividades culturales"
76,4846,"Otras actividades culturales"
77,5023,"Otras actividades culturales"
78,5300,"Otras actividades culturales"
79,5661,"Otras actividades culturales"
80,5893,"Otras actividades culturales"
81,6587,"Otras actividades culturales"
82,6897,"Otras actividades culturales"
83,7351,"Otras actividades culturales"
84,7688,"Otras actividades culturales"
85,8303,"Otras actividades culturales"
