"id_rz_lectura","id_persona","razon_si_lectura"
1,1,"Placer/entretenimiento"
2,2,"Placer/entretenimiento"
3,4,"Placer/entretenimiento"
4,5,"Placer/entretenimiento"
5,6,"Placer/entretenimiento"
6,7,"Placer/entretenimiento"
7,9,"Placer/entretenimiento"
8,10,"Placer/entretenimiento"
9,11,"Placer/entretenimiento"
10,18,"Placer/entretenimiento"
11,19,"Placer/entretenimiento"
12,21,"Placer/entretenimiento"
13,22,"Placer/entretenimiento"
14,23,"Placer/entretenimiento"
15,33,"Placer/entretenimiento"
16,42,"Placer/entretenimiento"
17,44,"Placer/entretenimiento"
18,45,"Placer/entretenimiento"
19,46,"Placer/entretenimiento"
20,49,"Placer/entretenimiento"
21,50,"Placer/entretenimiento"
22,51,"Placer/entretenimiento"
23,52,"Placer/entretenimiento"
24,53,"Placer/entretenimiento"
25,57,"Placer/entretenimiento"
26,58,"Placer/entretenimiento"
27,59,"Placer/entretenimiento"
28,60,"Placer/entretenimiento"
29,62,"Placer/entretenimiento"
30,64,"Placer/entretenimiento"
31,65,"Placer/entretenimiento"
32,67,"Placer/entretenimiento"
33,69,"Placer/entretenimiento"
34,71,"Placer/entretenimiento"
35,72,"Placer/entretenimiento"
36,73,"Placer/entretenimiento"
37,78,"Placer/entretenimiento"
38,84,"Placer/entretenimiento"
39,85,"Placer/entretenimiento"
40,86,"Placer/entretenimiento"
41,90,"Placer/entretenimiento"
42,91,"Placer/entretenimiento"
43,96,"Placer/entretenimiento"
44,99,"Placer/entretenimiento"
45,107,"Placer/entretenimiento"
46,108,"Placer/entretenimiento"
47,109,"Placer/entretenimiento"
48,111,"Placer/entretenimiento"
49,113,"Placer/entretenimiento"
50,114,"Placer/entretenimiento"
51,115,"Placer/entretenimiento"
52,116,"Placer/entretenimiento"
53,118,"Placer/entretenimiento"
54,122,"Placer/entretenimiento"
55,130,"Placer/entretenimiento"
56,131,"Placer/entretenimiento"
57,135,"Placer/entretenimiento"
58,141,"Placer/entretenimiento"
59,142,"Placer/entretenimiento"
60,144,"Placer/entretenimiento"
61,145,"Placer/entretenimiento"
62,146,"Placer/entretenimiento"
63,159,"Placer/entretenimiento"
64,160,"Placer/entretenimiento"
65,162,"Placer/entretenimiento"
66,165,"Placer/entretenimiento"
67,166,"Placer/entretenimiento"
68,168,"Placer/entretenimiento"
69,173,"Placer/entretenimiento"
70,175,"Placer/entretenimiento"
71,179,"Placer/entretenimiento"
72,182,"Placer/entretenimiento"
73,185,"Placer/entretenimiento"
74,186,"Placer/entretenimiento"
75,188,"Placer/entretenimiento"
76,189,"Placer/entretenimiento"
77,192,"Placer/entretenimiento"
78,194,"Placer/entretenimiento"
79,196,"Placer/entretenimiento"
80,197,"Placer/entretenimiento"
81,198,"Placer/entretenimiento"
82,202,"Placer/entretenimiento"
83,206,"Placer/entretenimiento"
84,212,"Placer/entretenimiento"
85,213,"Placer/entretenimiento"
86,215,"Placer/entretenimiento"
87,218,"Placer/entretenimiento"
88,219,"Placer/entretenimiento"
89,220,"Placer/entretenimiento"
90,223,"Placer/entretenimiento"
91,224,"Placer/entretenimiento"
92,226,"Placer/entretenimiento"
93,231,"Placer/entretenimiento"
94,233,"Placer/entretenimiento"
95,239,"Placer/entretenimiento"
96,240,"Placer/entretenimiento"
97,242,"Placer/entretenimiento"
98,246,"Placer/entretenimiento"
99,248,"Placer/entretenimiento"
100,252,"Placer/entretenimiento"
101,253,"Placer/entretenimiento"
102,254,"Placer/entretenimiento"
103,258,"Placer/entretenimiento"
104,259,"Placer/entretenimiento"
105,260,"Placer/entretenimiento"
106,262,"Placer/entretenimiento"
107,263,"Placer/entretenimiento"
108,264,"Placer/entretenimiento"
109,265,"Placer/entretenimiento"
110,266,"Placer/entretenimiento"
111,268,"Placer/entretenimiento"
112,269,"Placer/entretenimiento"
113,271,"Placer/entretenimiento"
114,272,"Placer/entretenimiento"
115,274,"Placer/entretenimiento"
116,275,"Placer/entretenimiento"
117,277,"Placer/entretenimiento"
118,281,"Placer/entretenimiento"
119,284,"Placer/entretenimiento"
